StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
910GWDGRNPK,overground,suffragette,910GWDGRNPK,Woodgrange Park,3|4,,True,,False,0.0,,,,,
910GWDRYTON,elizabeth-line,elizabeth,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,FALSE,False,1.0,Male
910GWDRYTON,elizabeth-line,elizabeth,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,FALSE,False,2.0,Female
910GWDRYTON,elizabeth-line,elizabeth,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,TRUE,False,3.0,Unisex
910GWDRYTON,nationalRail,national-rail,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,FALSE,False,1.0,Male
910GWDRYTON,nationalRail,national-rail,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,FALSE,False,2.0,Female
910GWDRYTON,nationalRail,national-rail,910GWDRYTON,West Drayton,6,,False,,False,0.0,910GWDRYTON,TRUE,False,3.0,Unisex
910GWDST,overground,weaver,910GWDST,Wood Street,4,,True,,False,0.0,,,,,
910GWEALING,elizabeth-line,elizabeth,910GWEALING,West Ealing,3,,False,,False,0.0,910GWEALING,TRUE,False,1.0,Unisex
910GWEALING,nationalRail,national-rail,910GWEALING,West Ealing,3,,False,,False,0.0,910GWEALING,TRUE,False,1.0,Unisex
910GWHHRTLA,overground,weaver,910GWHHRTLA,White Hart Lane,3,,True,,False,0.0,910GWHHRTLA,TRUE,False,1.0,Unisex
910GWHMDSTD,overground,mildmay,910GWHMDSTD,West Hampstead,2,HUBWHD,True,,False,0.0,910GWHMDSTD,FALSE,False,1.0,Male
910GWHMDSTD,overground,mildmay,910GWHMDSTD,West Hampstead,2,HUBWHD,True,,False,0.0,910GWHMDSTD,FALSE,False,2.0,Female
910GWHMDSTD,overground,mildmay,910GWHMDSTD,West Hampstead,2,HUBWHD,True,,False,0.0,910GWHMDSTD,TRUE,False,3.0,Unisex
