StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
940GZZLUBSC,tube,district,940GZZLUBSC,Barons Court,2,,True,,False,,940GZZLUBSC,FALSE,False,1.0
940GZZLUBSC,tube,district,940GZZLUBSC,Barons Court,2,,True,,False,,940GZZLUBSC,FALSE,False,2.0
940GZZLUBSC,tube,piccadilly,940GZZLUBSC,Barons Court,2,,True,,False,,940GZZLUBSC,FALSE,False,1.0
940GZZLUBSC,tube,piccadilly,940GZZLUBSC,Barons Court,2,,True,,False,,940GZZLUBSC,FALSE,False,2.0
940GZZLUBST,tube,metropolitan,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,1.0
940GZZLUBST,tube,metropolitan,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,2.0
940GZZLUBST,tube,circle,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,1.0
940GZZLUBST,tube,circle,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,2.0
940GZZLUBST,tube,hammersmith-city,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,1.0
940GZZLUBST,tube,hammersmith-city,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,2.0
940GZZLUBST,tube,jubilee,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,1.0
940GZZLUBST,tube,jubilee,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,2.0
940GZZLUBST,tube,bakerloo,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,1.0
940GZZLUBST,tube,bakerloo,940GZZLUBST,Baker Street,1,,True,,False,,940GZZLUBST,FALSE,False,2.0
940GZZLUBTK,tube,northern,940GZZLUBTK,Burnt Oak,4,,True,,False,,,,,
940GZZLUBTX,tube,northern,940GZZLUBTX,Brent Cross,3,,True,,False,,,,,
940GZZLUBWR,tube,district,940GZZLUBWR,Bow Road,2,,False,,False,,,,,
940GZZLUBWR,tube,hammersmith-city,940GZZLUBWR,Bow Road,2,,False,,False,,,,,
940GZZLUBWT,tube,circle,940GZZLUBWT,Bayswater,1,,True,,False,,,,,
940GZZLUBWT,tube,district,940GZZLUBWT,Bayswater,1,,True,,False,,,,,
940GZZLUBZP,tube,northern,940GZZLUBZP,Belsize Park,2,,True,,False,,,,,
940GZZLUCAR,tube,piccadilly,940GZZLUCAR,Caledonian Road,2,,True,,False,,,,,
940GZZLUCFM,tube,northern,940GZZLUCFM,Chalk Farm,2,,True,,False,,,,,
940GZZLUCGN,tube,piccadilly,940GZZLUCGN,Covent Garden,1,,True,,False,,,,,
940GZZLUCHL,tube,central,940GZZLUCHL,Chancery Lane,1,,True,,False,,,,,
940GZZLUCKS,tube,piccadilly,940GZZLUCKS,Cockfosters,5,,True,,False,,940GZZLUCKS,FALSE,False,1.0
940GZZLUCKS,tube,piccadilly,940GZZLUCKS,Cockfosters,5,,True,,False,,940GZZLUCKS,FALSE,False,2.0
940GZZLUCND,tube,northern,940GZZLUCND,Colindale,4,,True,,False,,,,,
940GZZLUCPC,tube,northern,940GZZLUCPC,Clapham Common,2,,True,,False,,,,,
940GZZLUCPK,tube,jubilee,940GZZLUCPK,Canons Park,5,,True,,False,,940GZZLUCPK,FALSE,False,1.0
940GZZLUCPK,tube,jubilee,940GZZLUCPK,Canons Park,5,,True,,False,,940GZZLUCPK,FALSE,False,2.0
940GZZLUCPK,tube,jubilee,940GZZLUCPK,Canons Park,5,,True,,False,,940GZZLUCPK,TRUE,False,3.0
