PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GFORESTH-Plat02-SB-london-overground|national-rail,910GFORESTH,windrush,Crystal Palace and West Croydon,,,,,,,False,,True,Use the Devonshire Road entrance for step-free access,
910GFORESTH-Plat02-SB-london-overground|national-rail,910GFORESTH,national-rail,,,,,,,,False,,True,Use the Devonshire Road entrance for step-free access,
910GFRSTGT-Plat01-WB-elizabeth,910GFRSTGT,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GFRSTGT-Plat02-EB-elizabeth,910GFRSTGT,elizabeth,Shenfield,,,,,,,False,,True,,
910GFRSTGT-Plat03-WB-elizabeth,910GFRSTGT,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GFRSTGT-Plat04-EB-elizabeth,910GFRSTGT,elizabeth,Shenfield,,,,,,,False,,True,,
910GGIDEAPK-Plat01-WB-elizabeth,910GGIDEAPK,elizabeth,Liverpool Street,,,,,,,False,,True,Use the Crossways entrance for step-free access,
910GGIDEAPK-Plat02-EB-elizabeth,910GGIDEAPK,elizabeth,Shenfield,,,,,,,False,,True,Use the Crossways entrance for step-free access,
910GGIDEAPK-Plat03-WB-elizabeth,910GGIDEAPK,elizabeth,Liverpool Street,,,,,,,False,,True,Use the Crossways entrance for step-free access,
910GGIDEAPK-Plat04-EB-elizabeth,910GGIDEAPK,elizabeth,Shenfield,,,,,,,False,,True,Use the Crossways entrance for step-free access,
910GGODMAYS-Plat01-WB-elizabeth,910GGODMAYS,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GGODMAYS-Plat02-EB-elizabeth,910GGODMAYS,elizabeth,Shenfield,,,,,,,False,,True,,
910GGODMAYS-Plat03-WB-elizabeth,910GGODMAYS,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GGODMAYS-Plat04-EB-elizabeth,910GGODMAYS,elizabeth,Shenfield,,,,,,,False,,True,,
910GGOSPLOK-Plat01-WB-london-overground,910GGOSPLOK,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GGOSPLOK-Plat02-EB-london-overground,910GGOSPLOK,mildmay,Stratford,,,,,,,False,,True,,
910GGOSPLOK-Plat03-EB-london-overground,910GGOSPLOK,suffragette,Barking,,,,,,,False,,True,,
910GHACKNYC-Plat01-WB-london-overground,910GHACKNYC,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GHACKNYC-Plat02-EB-london-overground,910GHACKNYC,mildmay,Stratford,,,,,,,False,,True,,
